游戏名,中文名,别名,评分人数,tag,rank
ソレヨリノ前奏詩,永不落幕的前奏诗,yorino、ヨリノ、それよりのぷろろーぐ、Soreyori no Prologue,2169,minori; Galgame; 巨乳诗; ソレヨリノ前奏诗; 御影; 天門; 镜游; 永远; 汉化; 2015,2673
青い空のカミュ,青空下的加缪,BSC、Camus in The Blue Sky、青空下的卡缪,2105,Galgame; 电波; 百合; 萝莉; 哲学; KAI; 剧情作; 阿尔贝·加缪; 凌辱; 〆鯖コハダ,3370
黄昏のシンセミア,黄昏的禁忌之药,Sinsemia、Shinsemia、Shinsemilla,2101,Galgame; 妹控; 实妹; 桐月; 强力黑长发实妹; あっぷりけ; 妹; GAL; 汉化; PC,1451
ましろ色シンフォニー -Love is Pure White-,纯白交响曲,Love is pure white、Mashifoni、ましフォニー,2086,Galgame; 纯白交响曲; 和泉つばす; Palette; 妹控; 标准GAL; PC; ぱれっと; GAL; 濑名爱理,2862
アオイトリ,青鸟,Blue Bird、Caged Bird,2056,Galgame; Purplesoftware; 紫社; 御影; 克; 吸血鬼; 拔作; 2017; PC; 妹,2065
フレラバ ～Friend to Lover～,,FL、Friend Lover、朋友恋人、FTL、Fureraba、Fureraba ～Friend to Lover～,2041,SMEE; Galgame; 纯爱; 糖; 甜作; 早瀬ゆう; 治愈; 甜甜甜; 幼馴染; 汉化,704
金色ラブリッチェ -Golden Time-,金辉恋曲四重奏 -Golden Time-,金恋GT、KinkoiGT、Kiniro Loveriche -Golden Time-、金色Loveriche -Golden Time-,2032,Galgame; SAGAPLANETS; さかき傘; FD; 水月陵; 理亜; 暖人心田; 2019; PC; 废萌,1543
蒼の彼方のフォーリズム EXTRA2,苍之彼方的四重奏 EXTRA2,Aokana Extra2,2031,Galgame; sprite; 蒼の彼方のフォーリズム; FD; 美咲; 竞技; 渡辺僚一; 燃; 2022; PC,190
パルフェ ～chocolat second brew～,女仆咖啡帕露菲,纯爱咖啡厅、Parfait ~Chocolat Second Brew~”Re-order”,1954,丸戸史明; Galgame; 戏画; 戯画; 帕露菲; 女仆; GIGA; 日常的感人; 日常; GAL,469
水葬銀貨のイストリア,水葬银货的伊斯特利亚,Istoria of SuisouGinka、水葬银币的伊斯特里亚,1953,Galgame; 桐葉; ルクル; 致郁; ウグイスカグラ; 水葬銀貨のイストリア; 妹; 压抑; 赌博; 2017,2490
月姫 -A piece of blue glass moon-,月姬 -A piece of blue glass moon-,Tsukihime Remake、Tsukihime Rebirth、月姬R,1909,Type-Moon; Galgame; 奈须きのこ; 有生之年; 2021; NS; AVG; PS4; GAL; ADV,269
向日葵の教会と長い夏休み,向日葵的教会与长长的暑假,Himanatsu、ひまなつ、Himawari no Kyoukai to Nagai Natsuyasumi,1908,枕; Galgame; 狗神煌; SCA-自; 治愈; 童话; 艹猫; GAL; 光源氏计划; 汉化,931
美少女万華鏡 -かつて少女だった君へ-,美少女万华镜 -献给曾是少女的你-,美少女万華鏡２．５、Biman 2.5,1897,Galgame; 拔作; 八宝備仁; ωstar; 美少女万华镜; PC; 八宝备仁; 2014; GAL; 动态CG,9767
Memories Off 2nd,秋之回忆2,memoff2、Memo-Off 2、メモオフ2、メモリーズオフ セカンド、告别回忆2、MO2,1888,秋之回忆; KID; Galgame; 白河萤; 水树奈奈; 雨何时会停; GAL; MO2; 燕老师！; PSP,345
カルタグラ ～ツキ狂イノ病～,恋狱～月狂病～,Karutagura ~Tsuki-gurui no Yamai~,1862,InnocentGrey; Galgame; 杉菜水姫; 猎奇; 悬疑; 恋狱~月狂病; PC; GAL; 飯田和彦; AVG,1409
天ノ少女,天之少女,Kara no Shoujo 3、Ama no Shoujo、kns3、【穗见学园汉化组汉化组】,1833,InnocentGrey; Galgame; 杉菜水姫; 悬疑; 天ノ少女; 推理; 猎奇; 有生之年; 鈴鹿美弥; PC,300
白昼夢の青写真,白日梦的构想图,夢青、Musei、The girl who's called the world、yonagi,1822,Galgame; Laplacian; 白毛; 緒乃ワサビ; 浅川悠; 剧情向; 2020; 白发; PC; GAL,1673
絆きらめく恋いろは,牵绊闪耀的恋之伊吕波,めくいろ、Mekuiro、羁绊辉耀的恋之伊吕波、永远的羁绊与恋爱之歌、羁绊辉煌恋爱入门,1818,Galgame; CRYSTALiA; 椿; 姐姐; 王道系; 朱雀院; 幼驯染; PC; 大桥步夕; 2017,7373
アマカノ2,甜蜜女友2,,1812,Galgame; 纯爱; あざらしそふと; 海豹社; ピロ水; 黑长直; 2020; R18; PC; 汉化,1916
Evenicle -イブニクル-,夏娃年代记,Evenicle,1796,alicesoft; RPG; Galgame; 后宫; 游戏性; PC; 战斗; 八重樫南; GAL; 汉化,1731
天神乱漫 -LUCKY or UNLUCKY!?-,天神乱漫 -LUCKY or UNLUCKY!?-,,1795,柚子社; Galgame; 废萌; 校园; 欢乐; 纯爱; Yuzu-Soft; 妹; ゆずソフト; 妹控,5201
星空のメモリア -Wish upon a shooting star-,星空的记忆 -Wish upon a shooting star,Hoshizora no Memoria -Wish upon a Shooting Star-、星空的记忆,1774,FAVORITE; Galgame; 星空のメモリア; 纯爱; 死神loli; 乙津夢姐姐; PC; 金发巫女蹭得累; GAL; 感動,741
冥契のルペルカリア,冥契的牧神节,るぺかり、Rupekari、Meikei no Lupercalia,1765,Galgame; ルクル; 桐叶; ウグイスカグラ; 妹; 桐葉; 剧情; 2021; 御苑生メイ; PC,1271
フタマタ恋愛,恋爱成双,ふたこい、Futakoi、劈腿恋,1760,Galgame; ASaProject; 颜艺社; 渣男; 废萌; 2022; 幼驯染; 大学; 搞笑; 白毛,5444
いろとりどりのヒカリ,五彩斑斓的曙光,The Eternal Chapter In World's End Tale、Colorful Light、Irohika、光鸟鸟,1757,FAVORITE; Galgame; 光鸟鸟; 真红; 史上最强FD; 漆原雪人; 福圆美里; 二阶堂真红是本命; GAL; いろとりどりのヒカリ,871
この青空に約束を―,青空下的约定,こんにゃく、Konnyaku、The Promise I made over this Blue Sky、この青空に约束を―,1745,丸户史明; Galgame; 戯画; この青空に約束を; 青春; GIGA; 丸戸史明; 友情; GAL; 約束の日,660
